4/14/08,Col,CQF,"Min 3, Col 2",Pierre-Marc Bouchard,11:58,Col
4/13/08,NJ,CQF,"NJ 4, NYR 3",John Madden,6:01,NYR
4/13/08,Bos,CQF,"Bos 2, Mon 1",Marc Savard,9:25,Mon
4/12/08,Mon,CQF,"Mon 3, Bos 2",Alex Kovalev,2:30,Mon
4/11/08,Min,CQF,"Min 3, Col 2",Keith Carney,1:14,Col
4/9/08,Min,CQF,"Col 3, Min 2",Joe Sakic,11:11,Col
5/20/07,Det,CF,"Ana 2, Det 1",Teemu Selanne,11:57,Ana
5/19/07,Buf,CF,"Ott 3, Buf 2",Daniel Alfredsson,9:32,Ott
5/13/07,Det,CF,"Ana 4, Det 3",Scott Niedermayer,14:17,Ana
5/12/07,Buf,CF,"Ott 4, Buf 3",Joe Corvo,24:48:00,Ott
5/4/07,Buf,CSF,"Buf 2, NYR 1",Maxim Afinogenov,4:39,Buf
5/3/07,Ana,CSF,"Ana 2, Van 1",Scott Niedermayer,24:30:00,Ana
5/2/07,SJ,CSF,"Det 3, SJ 2",Mathieu Schneider,16:04,Det
5/1/07,Van,CSF,"Ana 3, Van 2",Travis Moen,2:07,Ana
4/29/07,NYR,CSF,"NYR 2, Buf 1",Michal Rozsival,36:43:00,Buf
4/28/07,NJ,CSF,"NJ 3, Ott 2",Jamie Langenbrunner,21:55,Ott
4/27/07,Ana,CSF,"Van 2, Ana 1",Jeff Cowan,27:49:00,Ana
4/22/07,Cal,CQF,"Det 2, Cal 1",Johan Franzen,24:23:00,Det
4/19/07,Van,CQF,"Dal 1, Van 0",Brenden Morrow,6:22,Van
4/18/07,Tam,CQF,"NJ 4, Tam 3",Scott Gomez,12:54,NJ
4/15/07,Dal,CQF,"Van 2, Dal 1",Taylor Pyatt,7:47,Van
4/11/07,Van,CQF,"Van 5, Dal 4",Henrik Sedin,78:06:00,Van
4/11/07,Nas,CQF,"San 5, Nas 4",Patrick Rissmiller,28:14:00,San
6/14/06,Edm,F,"Edm 4, Car 3",Fernando Pisani,3:31,Car
5/30/06,Buf,CF,"Buf 2, Car 1",Daniel Briere,4:22,Car
5/28/06,Car,CF,"Car 4, Buf 3",Cory Stillman,8:46,Car
5/13/06,Ott,CSF,"Buf 3, Ott 2",Jason Pominville,2:26,Buf
5/10/06,Edm,CSF,"Edm 3, SJ 2",Shawn Horcoff,42:24:00,Edm
